epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,73.2554,0.54114,0.90625,1,0.21197,0.00054928,0.00054928,0.00054928
2,139.035,0.25742,0.9375,1,0.17183,0.00103202,0.00103202,0.00103202
3,209.59,0.20564,0.96354,1,0.07974,0.00144141,0.00144141,0.00144141
4,272.388,0.15041,0.98438,1,0.05208,0.00133693,0.00133693,0.00133693
5,334.29,0.12675,0.97917,1,0.07306,0.00122691,0.00122691,0.00122691
6,410.443,0.1482,0.98438,1,0.05614,0.00111689,0.00111689,0.00111689
7,483.6,0.13022,0.95312,1,0.1089,0.00100687,0.00100687,0.00100687
8,556.38,0.1212,0.98958,1,0.02635,0.000896846,0.000896846,0.000896846
9,630.173,0.08662,0.98958,1,0.03604,0.000786824,0.000786824,0.000786824
10,712.927,0.07464,0.98438,1,0.03304,0.000676802,0.000676802,0.000676802
11,791.335,0.09818,0.98958,1,0.05371,0.00056678,0.00056678,0.00056678
12,860.976,0.06768,0.98438,1,0.03568,0.000456758,0.000456758,0.000456758
13,930.899,0.05718,0.98958,1,0.02993,0.000346736,0.000346736,0.000346736
14,999.773,0.05943,0.99479,1,0.02467,0.000236714,0.000236714,0.000236714
15,1068.6,0.06099,0.99479,1,0.01933,0.000126692,0.000126692,0.000126692
