epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,237.573,1.63938,3.07106,1.2449,0.00526,0.46753,0.20775,0.1151,1.71583,3.63481,1.23531,0.00041441,0.00041441,0.00041441
2,477.773,1.51892,2.19445,1.17735,0.72181,0.12401,0.3162,0.16613,1.71813,3.14405,1.27644,0.000809723,0.000809723,0.000809723
3,708.67,1.4355,1.93899,1.13647,0.72497,0.29973,0.45699,0.24277,1.67446,2.72332,1.21958,0.00117108,0.00117108,0.00117108
4,945.434,1.43207,1.84326,1.15464,0.72393,0.50137,0.5256,0.30121,1.48086,2.38712,1.13959,0.00125923,0.00125923,0.00125923
5,1129.89,1.33592,1.67565,1.1186,0.65195,0.47595,0.59305,0.35677,1.36268,2.12233,1.14678,0.00120265,0.00120265,0.00120265
6,1297.83,1.26734,1.51343,1.09979,0.71981,0.76939,0.7773,0.45053,1.42616,1.65082,1.14322,0.00114606,0.00114606,0.00114606
7,1443.23,1.27295,1.43141,1.06073,0.6267,0.67549,0.69346,0.40292,1.28377,1.70398,1.09144,0.00108947,0.00108947,0.00108947
8,1598.59,1.22257,1.41259,1.08329,0.74788,0.70756,0.78585,0.51819,1.18855,1.46094,1.03755,0.00103288,0.00103288,0.00103288
9,1757.73,1.22053,1.37738,1.08374,0.78467,0.75692,0.81789,0.52556,1.17953,1.36219,1.03824,0.000976293,0.000976293,0.000976293
10,1912.91,1.20754,1.27283,1.06374,0.80714,0.7608,0.82509,0.536,1.17862,1.41999,1.03305,0.000919704,0.000919704,0.000919704
11,2055.57,1.16515,1.21695,1.04529,0.80596,0.75238,0.86952,0.55324,1.20624,1.34714,1.02208,0.000863116,0.000863116,0.000863116
12,2196.69,1.17917,1.23886,1.0567,0.79817,0.72792,0.79998,0.51732,1.20226,1.47383,1.02485,0.000806528,0.000806528,0.000806528
13,2334.07,1.14947,1.17785,1.0441,0.8251,0.73381,0.86002,0.58793,1.11519,1.20579,1.01076,0.000749939,0.000749939,0.000749939
14,2477.49,1.10334,1.16904,1.02644,0.81296,0.85753,0.88876,0.57785,1.193,1.18283,1.03824,0.000693351,0.000693351,0.000693351
15,2612.61,1.1167,1.13835,1.03432,0.83383,0.79293,0.86959,0.58083,1.18056,1.13484,1.03302,0.000636762,0.000636762,0.000636762
16,2749.91,1.11291,1.26807,1.0515,0.78584,0.80744,0.86937,0.5748,1.18683,1.27007,1.03573,0.000580174,0.000580174,0.000580174
17,2888.91,1.0496,1.14504,1.01603,0.91138,0.80638,0.8789,0.61531,1.10522,1.1027,0.99558,0.000523586,0.000523586,0.000523586
18,3028.61,1.02058,1.09319,1.01547,0.90281,0.81473,0.88578,0.60475,1.10131,1.02758,1.00262,0.000466997,0.000466997,0.000466997
19,3165.43,1.00679,1.04407,0.98278,0.91629,0.81736,0.89845,0.64494,1.0133,0.97188,0.97566,0.000410409,0.000410409,0.000410409
20,3303.84,1.0046,1.04256,1.0023,0.88575,0.85023,0.90456,0.639,1.04343,0.96168,0.97347,0.00035382,0.00035382,0.00035382
21,3441.33,0.98244,1.01811,0.97674,0.85096,0.86107,0.89506,0.62053,1.05957,0.98235,0.97215,0.000297232,0.000297232,0.000297232
22,3576.91,0.97145,0.99795,0.98433,0.904,0.86164,0.90718,0.63805,1.01727,0.95147,0.97364,0.000240644,0.000240644,0.000240644
23,3713.07,0.98422,0.99205,0.98103,0.88043,0.8849,0.91276,0.64291,1.00346,0.93597,0.96932,0.000184055,0.000184055,0.000184055
24,3850.75,0.9471,0.9625,0.97106,0.9201,0.85824,0.92209,0.657,1.00345,0.90071,0.9618,0.000127467,0.000127467,0.000127467
25,3989.78,0.90932,0.92039,0.98019,0.90731,0.85454,0.91794,0.66317,0.99169,0.87217,0.95971,7.08784e-05,7.08784e-05,7.08784e-05
